consulta,dia_semana,semana_del_mes,mes,cuatrimestre,anio,hora_discretizada,dni_discretizado,legajo_discretizado,posee_legajo,posee_telefono,carrera_valor,proveedor_correo,cantidad_caracteres,proporcion_mayusculas,proporcion_letras,cantidad_tildes,cantidad_palabras,cantidad_palabras_cortas,proporcion_palabras_distintas,frecuencia_signos_puntuacion,cantidad_oraciones,utiliza_codigo_asignatura,score,clase
intento hacer el tramite para el boleto estudiantil y me salta un cartel que dice error de credenciales. ,0,1,3,1,2018,0,4,4,1,1,54,18,105,0.0,0.819047619047619,0,19,10,0.9473684210526315,0.009523809523809525,1,0,23.223335000000002,Boleto Universitario
buen dia no puedo realizar el tramite del boleto estudiantil me dice que hay error de credenciales gracias ,0,1,3,1,2018,0,2,2,1,1,43,18,107,0.0,0.8317757009345794,0,19,11,1.0,0.0,1,0,23.223335000000002,Boleto Universitario
buen dia no puedo realizar el tramite del boleto estudiantil me dice que hay error de credenciales gracias ,0,1,3,1,2018,0,2,2,1,1,43,18,107,0.0,0.8317757009345794,0,19,11,1.0,0.0,1,0,23.223335000000002,Boleto Universitario
buen dia no puedo realizar el tramite del boleto estudiantil me dice que hay error de credenciales gracias ,0,1,3,1,2018,0,2,2,1,1,43,18,107,0.0,0.8317757009345794,0,19,11,1.0,0.0,1,0,23.223335000000002,Boleto Universitario
"buenos días, al realizar el tramite de boleto estudiantil me aparece un mensaje diciendo &quot;error de credenciales&quot;, por el cual no lo puedo completar y obtener el beneficio. ",0,1,3,1,2018,0,8,4,1,1,54,18,182,0.0,0.8076923076923077,1,29,14,0.896551724137931,0.027472527472527472,1,0,22.983032,Boleto Universitario
no puedo hacer el tramite de boleto estudiantil provincial. me salta error de credenciales. no se que debo hacer. pueden ayudarme? ,0,1,3,1,2018,1,4,2,1,1,8,9,131,0.0,0.8091603053435115,0,22,10,0.9090909090909091,0.030534351145038167,3,0,22.177647,Boleto Universitario
"buenas tardes queria saber porque me dice error de credenciales al momento de hacer el boleto estudiantil provincial , hasta el mes pasado pude cargar el dia de hoy quiero cargarlo y no poseo mas el beneficio&iquest; que tengo que hacer ? ",0,1,3,1,2018,0,6,3,1,1,3,18,239,0.0,0.8075313807531381,0,43,22,0.8372093023255814,0.012552301255230125,1,0,21.080560000000002,Boleto Universitario
"buen día. quería tramitar el beneficio de boleto estudiantil pero cuando inicio el trámite me dice error de credenciales. como puedo proceder para obtenerlo. muchas gracias. saludos, elizabeth ",0,1,3,1,2018,1,2,4,1,0,54,18,193,0.0,0.8290155440414507,3,29,12,0.9310344827586207,0.025906735751295335,4,0,20.477945000000002,Boleto Universitario
"buenas tardes, tengo un problema con mi sube y el boleto estudiantil, en la pagina de la universidad me sale que ha ocurrido un error cuando intento entrar al apartado del boleto estudiantil, yo ya tengo el beneficio del boleto pero este mes cuando quise acreditarlo me dijeron que no tenia ningun beneficio de boleto estudiantil  ",3,3,8,2,2017,2,5,2,1,0,3,24,331,0.0,0.8187311178247734,0,58,30,0.7413793103448276,0.00906344410876133,1,0,20.293076,Boleto Universitario
"al intentar gestionar el boleto estudiantil de la pcia de bs as, me arroja el siguiente error: &quot; error de credenciales&quot; nota: la tarjeta sube ya está registrada y he aceptado los términos y condiciones. ",2,3,6,1,2019,0,3,1,1,1,54,24,213,0.0,0.7981220657276995,2,36,20,0.8611111111111112,0.028169014084507043,1,0,20.073007999999998,Boleto Universitario
