consulta,dia_semana,semana_del_mes,mes,cuatrimestre,anio,hora_discretizada,dni_discretizado,legajo_discretizado,posee_legajo,posee_telefono,carrera_valor,proveedor_correo,cantidad_caracteres,proporcion_mayusculas,proporcion_letras,cantidad_tildes,cantidad_palabras,cantidad_palabras_cortas,proporcion_palabras_distintas,frecuencia_signos_puntuacion,cantidad_oraciones,utiliza_codigo_asignatura,score,clase
hola soy del plan 1506 debo un seminario optativo  y no se como anotarme para rendir ,1,1,12,2,2015,1,2,2,1,1,15,8,85,0.0,0.7529411764705882,0,18,14,0.9444444444444444,0.0,1,0,44.948840000000004,Boleto Universitario
"hola, hice hace un mes y algo el tramite online para el boleto estudiantil provincial pero no me asignaron nada en la sube. cuando quiero hacer el tramite otra vez me dice que ya tengo un beneficio asignado. &iquest;qué tengo que hacer? ",4,1,5,1,2019,1,8,4,1,1,3,4,237,0.0,0.7974683544303798,1,43,25,0.8372093023255814,0.02109704641350211,2,0,37.032795,Boleto Universitario
"hola, en la página dice que tengo asignado el boleto estudiantil provincial, pero hace varios meses apoyo la sube en las correspondientes terminales y no me carga ningún beneficio. que puedo hacer? gracias  ",1,3,10,2,2019,3,7,4,1,0,3,4,207,0.0,0.8164251207729468,2,35,17,0.8857142857142857,0.01932367149758454,1,0,34.81903,Boleto Universitario
"hola que tal?, buenos días.  quería consultar sobre el beneficio del boleto estudiantil provincial. realice el tramite hace dos meses y todavía no me lo asignaron, ya ingrese la tarjeta sube en el aparato del buffet de la universidad y no recibo nada. cuando ingreso a la pagina de la unlu para hacer nuevamente el tramite, dice que mi beneficio ya fue asignado. quisiera saber que tengo que hacer. muchas gracias. saludos.  ",4,2,7,1,2018,0,8,4,1,1,43,4,425,0.0,0.8,3,75,38,0.7733333333333333,0.02588235294117647,7,0,33.004196,Boleto Universitario
"yo hace casi un mes hice el tramite para la sube, en el cual te cargan todos los meses credito. queria saber cuanto tarda en aplicarse el beneficio. por que cuando entro para hacer el tramite devuelta me dice que ya tengo un beneficio asigando, pero cuando voy me dice que no hay cargas pendientes. ",0,5,7,1,2018,3,8,4,1,1,3,4,299,0.0,0.7993311036789298,0,56,33,0.7857142857142857,0.016722408026755852,3,0,32.668217,Boleto Universitario
"hola queria saber xque no puedo hacer el boleto estudiantil provincial, me dice q ya tengo un beneficio asignado. ",1,3,5,1,2019,3,8,4,1,1,19,8,114,0.0,0.8157894736842105,0,20,10,1.0,0.017543859649122806,1,0,31.86008,Boleto Universitario
buenas noches queria consultar si puedo tener dos beneficios estudiantiles en la sube ya que quisiera hacer el tramite del boleto estudiantil gratuito ,0,1,3,1,2018,3,6,3,1,1,43,17,151,0.0,0.847682119205298,0,24,10,1.0,0.0,1,0,31.696363,Boleto Universitario
"hola buenos dias, me comunicaba por el tema del boleto estudiantil provincial , hice todos los pasos hace como un mes me dice que ya tengo un  beneficio asignado pero aún no me cargaron nada en la sube tampoco hubo descuento,  quisiera saber porque! muchas gracias ",1,4,4,1,2019,0,6,4,1,1,5,4,265,0.0,0.8037735849056604,1,49,30,0.8979591836734694,0.01509433962264151,1,0,31.135052,Boleto Universitario
"hola!!quería hacer una consulta con respecto al boleto estudiantil... hice el tramite,pero me dice que ya poseo un beneficio asignado  a que se refiere??? porque yo no poseo sube con descuento,gracias.                       saludos:lilian gomez ",0,2,3,1,2018,1,4,3,1,1,52,8,245,0.0,0.7224489795918367,1,57,41,0.543859649122807,0.04897959183673469,4,0,30.721703,Boleto Universitario
"buenas tardes, inicie el tramite para el boleto estudiantil provincial pero aun no tengo el beneficio. en mi perfil de estudiante dice que ya tengo un beneficio asignado.&iquest;quisiera saber cuando voy a poder usar el beneficio? muchas gracias ",1,2,3,1,2018,2,5,4,1,1,54,4,246,0.0,0.8211382113821138,0,39,19,0.8974358974358975,0.02032520325203252,2,0,30.662374,Boleto Universitario
