consulta,dia_semana,semana_del_mes,mes,cuatrimestre,anio,hora_discretizada,dni_discretizado,legajo_discretizado,posee_legajo,posee_telefono,carrera_valor,proveedor_correo,cantidad_caracteres,proporcion_mayusculas,proporcion_letras,cantidad_tildes,cantidad_palabras,cantidad_palabras_cortas,proporcion_palabras_distintas,frecuencia_signos_puntuacion,cantidad_oraciones,utiliza_codigo_asignatura,score,clase
"hola queria saber porque no se me acredita la carga en la sube del boleto estudiantil. muchas gracias.   entro a la pagina , y me aparace que ya tengo el beneficio asignado , pero no se me acredita la carga. y a todo el mundo se le acredito , gracias ! ",1,2,4,1,2019,2,6,3,1,1,3,11,253,0.0,0.7628458498023716,0,54,34,0.7037037037037037,0.02766798418972332,3,0,45.517703999999995,Boleto Universitario
"hola queria saber porque no se me acredita la carga en la sube del boleto estudiantil. muchas gracias.   entro a la pagina , y me aparace que ya tengo el beneficio asignado , pero no se me acredita la carga. y a todo el mundo se le acredito , gracias ! ",1,2,4,1,2019,2,6,3,1,1,3,11,253,0.0,0.7628458498023716,0,54,34,0.7037037037037037,0.02766798418972332,3,0,45.517703999999995,Boleto Universitario
"yo hace casi un mes hice el tramite para la sube, en el cual te cargan todos los meses credito. queria saber cuanto tarda en aplicarse el beneficio. por que cuando entro para hacer el tramite devuelta me dice que ya tengo un beneficio asigando, pero cuando voy me dice que no hay cargas pendientes. ",0,5,7,1,2018,3,8,4,1,1,3,5,299,0.0,0.7993311036789298,0,56,33,0.7857142857142857,0.016722408026755852,3,0,39.395226,Boleto Universitario
"hola, hace dos meses q me cargan la sube, y en el mes de junio no se me acredito nada, y ahora ya estoy en el mes de agosto y me siguen sin acreditar.. queria saber el porque ",2,1,7,1,2018,0,8,4,1,1,3,11,175,0.0,0.7542857142857143,0,39,24,0.7692307692307693,0.02857142857142857,2,0,37.903893,Boleto Universitario
"hola, en la página dice que tengo asignado el boleto estudiantil provincial, pero hace varios meses apoyo la sube en las correspondientes terminales y no me carga ningún beneficio. que puedo hacer? gracias  ",1,3,10,2,2019,3,7,4,1,0,3,5,207,0.0,0.8164251207729468,2,35,17,0.8857142857142857,0.01932367149758454,1,0,36.964314,Boleto Universitario
"hola buenas tardes, quería saber por qué me aparece que ya soy beneficiaria del boleto estudiantil, y cuando acerco mi tarjeta sube a la terminal para hacer la correspondiente carga, me dice que no tengo saldo para cargar. muchas gracias, saludos ",0,3,3,1,2019,3,7,4,1,1,54,5,247,0.0,0.8137651821862348,2,42,21,0.9047619047619048,0.020242914979757085,1,0,36.840346999999994,Boleto Universitario
buenos dias. queria consultar sobre la carga de credito en la tarjeta sube. el mes pasado se me acredito pero este mes no. tengo que volver a realizar la solicitud? gracias ,2,2,3,1,2019,0,5,4,1,1,5,11,173,0.0,0.7976878612716763,0,32,16,0.90625,0.023121387283236993,3,0,36.656009999999995,Boleto Universitario
me dice que ya poseo él beneficio del boleto estudiantil  pero no me acreditan él saldo en la sube ,3,1,4,1,2019,3,7,4,1,1,5,24,99,0.0,0.797979797979798,2,21,15,0.8571428571428571,0.0,1,0,36.45194,Boleto Universitario
"hola que tal, tengo asignado el boleto estudiantil y desde principio de año que no puedo cargar, me comunique con sube y me dicen que no tengo cargas pendientes que me comunique con ustedes, desde marzo que no se me acredita... gracias espero solucion ",6,1,10,2,2019,2,7,4,1,0,5,11,252,0.0,0.8015873015873016,0,45,24,0.6888888888888889,0.023809523809523808,3,0,35.868393,Boleto Universitario
hola buenas tardes! queria saber si ustedes pueden averiguar porque no se me acreditó el credito del saldo estudiantil? aún me figura que tengo el beneficio ,3,4,3,1,2018,2,5,2,1,0,0,11,157,0.0,0.821656050955414,2,27,12,0.9259259259259259,0.012738853503184714,1,0,35.645503999999995,Boleto Universitario
"buen día, todavía no veo acreditado el boleto estudiantil en mi sube y en la página de la unlu dice que &quot;la persona ya tiene un beneficio asignado&quot; ",1,2,4,1,2018,0,3,4,1,1,54,11,158,0.0,0.7911392405063291,3,29,19,0.9310344827586207,0.0189873417721519,1,0,35.102596000000005,Boleto Universitario
"buenos días! quiero adherirme al boleto estudiantil provincial y me lanza el siguiente mensaje: &quot;la persona ya tiene un beneficio asignado&quot;. yo el año anterior tuve beneficio, pero este año no lo tengo, dado que, en reiteradas oportunidades, coloqué la tarjeta sube en las terminales de la anses que están en la unlu y nunca se me acreditó la suma en dicha tarjeta. saludos. analía benente. ",1,4,4,1,2018,0,3,1,1,1,54,5,401,0.0,0.800498753117207,5,67,35,0.8507462686567164,0.029925187032418952,4,0,35.086659999999995,Boleto Universitario
"buenos días! tengo una consulta sobre el boleto estudiantil provincial,  yo el año pasado lo tenia en funcionamiento. este año me aparece en mi perfil de alumno que el beneficio esta asignado pero al pasar la sube por una terminal el saldo no me se acredita. a que se debería?    muchas gracias !  ",2,3,3,1,2019,0,8,4,1,1,5,11,298,0.0,0.785234899328859,2,59,36,0.7627118644067796,0.020134228187919462,2,0,34.964783000000004,Boleto Universitario
"hola, por favor me podrían hacer acreditar la sube, pues realizo la operación en las terminales y no se acredita ningún saldo... muchas gracias por su atención... atentamente, walter f. quinteros- legajo 163686 ",2,2,9,2,2019,1,1,4,1,1,8,11,211,0.0,0.7630331753554502,4,34,14,0.9411764705882353,0.04739336492890995,7,0,34.736088,Boleto Universitario
"todavia no tengo el beneficio de boleto estudiantil provincial, aunque ahi dice que ya fue asignado, mi consulta es como hago efectivo el credito en la sube o la asignacion  ",6,1,4,1,2019,3,7,4,1,1,43,5,174,0.0,0.8103448275862069,0,32,20,0.90625,0.011494252873563218,1,0,34.664406,Boleto Universitario
"buenas tardes queria saber porque me dice error de credenciales al momento de hacer el boleto estudiantil provincial , hasta el mes pasado pude cargar el dia de hoy quiero cargarlo y no poseo mas el beneficio&iquest; que tengo que hacer ? ",0,1,3,1,2018,0,6,3,1,1,3,11,239,0.0,0.8075313807531381,0,43,22,0.8372093023255814,0.012552301255230125,1,0,34.589447,Boleto Universitario
"buenos dias, estaba recibiendo el boleto estudiantil, pero ayer fui a la terminar para apoyar la tarjeta y que se acredite el nuevo saldo, pero me apareció como que no tenía crédito pendiente para la carga. me pareció raro xq este mes no había hecho la carga. me podrían decir cual es mi estado ? gracias  ",6,4,11,2,2018,2,5,2,1,1,54,11,306,0.0,0.7941176470588235,6,58,33,0.7931034482758621,0.0196078431372549,2,0,34.290009999999995,Boleto Universitario
"buen dia, queria saber cuándo se acredita el boleto estudiantil provincial. ya que en la pagina me pone que ya tengo beneficio asignado. gracias ",4,1,4,1,2019,0,8,4,1,1,54,11,145,0.0,0.8137931034482758,1,25,13,0.92,0.020689655172413793,2,0,33.536148,Boleto Universitario
cuando intento solicitar el beneficio del boleto estudiantil provincial y luego de ingresar mis datos dice que ya poseo el beneficio asignado cuando no es asi. que forma hay de reiniciar el tramite? o verificar que se me acredite realmente dicho beneficio ,1,2,3,1,2019,1,7,4,1,0,54,11,256,0.0,0.828125,0,43,21,0.813953488372093,0.0078125,1,0,32.992775,Boleto Universitario
buenas noches. quería realizar el reclamo ya que no se ha acreditado el saldo correspondiente al boleto estudiantil provincial en la tarjeta sube registrada a mi nombre. saluda atte. walter e. bernasconi. ,2,2,3,1,2018,3,3,2,1,1,7,14,205,0.0,0.8195121951219512,1,33,15,0.9696969696969697,0.024390243902439025,5,0,32.814014,Boleto Universitario
